% FILE: Exam4_matlab.1
%
%       t             Q1             Q2             U1             U2
%     (sec)          (rad)          (rad)         (rad/s)        (rad/s)

  7.100000E+00  -8.556365E-01   2.118640E+00   8.338963E-03  -1.843358E-04 
  7.200000E+00  -8.550146E-01   2.118554E+00   4.197478E-03  -1.558085E-03 
  7.300000E+00  -8.547769E-01   2.118326E+00   6.568836E-04  -2.978660E-03 
  7.400000E+00  -8.548630E-01   2.117962E+00  -2.278457E-03  -4.274366E-03 
  7.500000E+00  -8.552136E-01   2.117481E+00  -4.644300E-03  -5.295827E-03 
  7.600000E+00  -8.557747E-01   2.116916E+00  -6.497600E-03  -5.935227E-03 
  7.700000E+00  -8.564981E-01   2.116308E+00  -7.900580E-03  -6.137207E-03 
  7.800000E+00  -8.573417E-01   2.115703E+00  -8.909368E-03  -5.901062E-03 
  7.900000E+00  -8.582684E-01   2.115141E+00  -9.567827E-03  -5.275204E-03 
  8.000000E+00  -8.592446E-01   2.114658E+00  -9.906256E-03  -4.345764E-03 
  8.100000E+00  -8.602396E-01   2.114279E+00  -9.943960E-03  -3.221783E-03 
  8.200000E+00  -8.612238E-01   2.114016E+00  -9.694285E-03  -2.019503E-03 
  8.300000E+00  -8.621693E-01   2.113874E+00  -9.170558E-03  -8.480166E-04 
  8.400000E+00  -8.630494E-01   2.113843E+00  -8.391588E-03   2.020389E-04 
  8.500000E+00  -8.638400E-01   2.113908E+00  -7.385660E-03   1.065755E-03 
  8.600000E+00  -8.645203E-01   2.114048E+00  -6.192439E-03   1.706916E-03 
  8.700000E+00  -8.650740E-01   2.114241E+00  -4.862607E-03   2.117012E-03 
  8.800000E+00  -8.654903E-01   2.114465E+00  -3.455473E-03   2.311101E-03 
  8.900000E+00  -8.657646E-01   2.114698E+00  -2.035069E-03   2.321628E-03 
  9.000000E+00  -8.658990E-01   2.114924E+00  -6.654163E-04   2.191326E-03 
  9.100000E+00  -8.659014E-01   2.115133E+00   5.943248E-04   1.966288E-03 
  9.200000E+00  -8.657854E-01   2.115316E+00   1.694169E-03   1.690025E-03 
  9.300000E+00  -8.655691E-01   2.115470E+00   2.596582E-03   1.399098E-03 
  9.400000E+00  -8.652735E-01   2.115596E+00   3.278409E-03   1.120552E-03 
  9.500000E+00  -8.649211E-01   2.115695E+00   3.731368E-03   8.711283E-04 
  9.600000E+00  -8.645347E-01   2.115771E+00   3.961182E-03   6.580068E-04 
  9.700000E+00  -8.641357E-01   2.115828E+00   3.985601E-03   4.806530E-04 
  9.800000E+00  -8.637435E-01   2.115869E+00   3.831651E-03   3.333045E-04 
  9.900000E+00  -8.633742E-01   2.115895E+00   3.532480E-03   2.076141E-04 
  1.000000E+01  -8.630406E-01   2.115910E+00   3.124177E-03   9.504939E-05 
  1.010000E+01  -8.627518E-01   2.115915E+00   2.642869E-03  -1.125071E-05 
  1.020000E+01  -8.625134E-01   2.115908E+00   2.122339E-03  -1.153235E-04 
  1.030000E+01  -8.623277E-01   2.115892E+00   1.592280E-03  -2.179708E-04 
  1.040000E+01  -8.621944E-01   2.115865E+00   1.077250E-03  -3.170085E-04 
  1.050000E+01  -8.621111E-01   2.115828E+00   5.962659E-04  -4.080198E-04 
  1.060000E+01  -8.620736E-01   2.115784E+00   1.629359E-04  -4.854073E-04 
  1.070000E+01  -8.620766E-01   2.115732E+00  -2.140049E-04  -5.435305E-04 
  1.080000E+01  -8.621143E-01   2.115676E+00  -5.299265E-04  -5.777407E-04 
  1.090000E+01  -8.621805E-01   2.115617E+00  -7.834402E-04  -5.851677E-04 
  1.100000E+01  -8.622690E-01   2.115560E+00  -9.755666E-04  -5.651750E-04 
  1.110000E+01  -8.623737E-01   2.115505E+00  -1.109019E-03  -5.194571E-04 
  1.120000E+01  -8.624889E-01   2.115456E+00  -1.187651E-03  -4.518109E-04 
  1.130000E+01  -8.626095E-01   2.115415E+00  -1.216071E-03  -3.676523E-04 
