time(s),Q1,QBwx,QBwy,QBwz,U1,UBwx,UBwy,UBwz
0.0,0.0,0.0,0.0,0.0,860.0,1.0,0.0,0.0
0.0001,0.08599974976407963,9.82115345339256e-05,0.0,0.0,859.9949952859708,0.9644452132508176,0.0,0.0
0.000899901572323108,0.773895087805124,0.0007680161866356482,0.0,0.0,859.9549634452565,0.7219608484345788,0.0,0.0
0.0016897432275435583,1.45310772950968,0.0012639693969956163,0.0,0.0,859.9154367119663,0.5424146198209747,0.0,0.0
0.002526915350155554,2.1729874247466094,0.0016557064676770061,0.0,0.0,859.8735431678762,0.40059698021353163,0.0,0.0
0.003412190070558658,2.9341921268544584,0.0019591297072792334,0.0,0.0,859.8292444890487,0.29075093585632145,0.0,0.0
0.004351527835073337,3.741840131813212,0.0021906501273115373,0.0,0.0,859.7822427749512,0.2069353310865354,0.0,0.0
0.005351545895525379,4.6016128842575315,0.0023642689792485487,0.0,0.0,859.7322073431761,0.14408139763001301,0.0,0.0
0.006420148924067037,5.520296758518281,0.0024919488114825937,0.0,0.0,859.6787431976397,0.09785842363010344,0.0,0.0
0.0075668253934937455,6.506037253604514,0.0025837837480897057,0.0,0.0,859.6213762318841,0.06461210890051683,0.0,0.0
0.008803091783904298,7.568720040544296,0.002648179246297785,0.0,0.0,859.5595310486829,0.04129948867458271,0.0,0.0
0.01014309422271436,8.720486997658718,0.002692027719700073,0.0,0.0,859.4925009217815,0.025425354047788874,0.0,0.0
0.011604445090002066,9.976453699983923,0.0027208803713817623,0.0,0.0,859.4194060306017,0.014980044517098931,0.0,0.0
0.013209410406942415,11.355727621703688,0.0027391145536029755,0.0,0.0,859.3391341896239,0.008378860007584771,0.0,0.0
0.014986635667982829,12.882887858130875,0.002750095892228933,0.0,0.0,859.2502547110728,0.0044033681784493486,0.0,0.0
0.01697372305527036,14.590194476686527,0.002756334232088932,0.0,0.0,859.1508897926092,0.0021449486919421176,0.0,0.0
0.01922120133456699,16.520991159312764,0.0027596322364125555,0.0,0.0,859.0385164368414,0.0009509968717125209,0.0,0.0
0.021798864156124566,18.735136714891436,0.00276122519643291,0.0,0.0,858.9096502563676,0.00037430947860279354,0.0,0.0
0.024806319032493876,21.318042668242388,0.002761910274147818,0.0,0.0,858.759319338833,0.00012629592117531095,0.0,0.0
0.028391403560105687,24.396446231047904,0.0027621630267428278,0.0,0.0,858.5801459761329,3.479379101800608e-05,0.0,0.0
0.03278405632768247,28.167408600527303,0.0027622387021858127,0.0,0.0,858.3606583775186,7.397576813142037e-06,0.0,0.0
0.03836125139867896,32.95387648487934,0.0027622555977598797,0.0,0.0,858.0820556851763,1.280998594444566e-06,0.0,0.0
0.04576286635910206,39.303701507891205,0.002762258012047912,0.0,0.0,857.7124420125456,4.069719688409475e-07,0.0,0.0
0.055879710651561845,47.97849014598993,0.0027622570175729467,0.0,0.0,857.2074704434451,7.669942970175281e-07,0.0,0.0
