time(s),x_pos,y_pos,Cd,x_vel,y_vel
0.0,0.0,0.0,0.0,744.0,429.0
0.0001,0.0,0.07440000000000001,0.0,744.0,428.99511366859275
0.0003440035447853643,0.0,0.255938637320311,0.0,744.0,428.9831908467491
0.000849030175238208,0.0,0.6316784503772268,0.0,744.0,428.95851357189025
0.0017192809557196945,0.0,1.2791450310554529,0.0,744.0,428.91599023468166
0.0030840388531288123,0.0,2.294524906727837,0.0,744.0,428.84930364090746
0.004997864861360849,0.0,3.7184114568524724,0.0,744.0,428.75578775958684
0.007609977363946726,0.0,5.6618231587763646,0.0,744.0,428.6281512859799
0.010799805336885581,0.0,8.035055170642874,0.0,744.0,428.4722857199005
0.014592090908328676,0.0,10.856515635796537,0.0,744.0,428.28698207896997
0.018904044281392796,0.0,14.064608945356243,0.0,744.0,428.0762857470354
0.023631218591670354,0.0,17.581626632202745,0.0,744.0,427.8453003440362
0.029250693858174862,0.0,21.7625162304821,0.0,744.0,427.5707141591656
0.03540870434674015,0.0,26.344076033974673,0.0,744.0,427.2698133586003
0.04178206062280019,0.0,31.08585310336334,0.0,744.0,426.9583900491864
0.0487683101305208,0.0,36.28362273710747,0.0,744.0,426.61701874530087
0.055683611559716246,0.0,41.42860700042888,0.0,744.0,426.2791141996592
0.06326392232736133,0.0,47.068358211556834,0.0,744.0,425.90871509385164
0.07110688608048348,0.0,52.903523243879704,0.0,744.0,425.52548189272255
0.07921944072825128,0.0,58.93926390181895,0.0,744.0,425.1290755870373
0.08761085308009593,0.0,65.18247469159137,0.0,744.0,424.71904336977616
0.09561945347876574,0.0,71.1408733882017,0.0,744.0,424.32771661321374
0.10390735863510532,0.0,77.30707482451834,0.0,744.0,423.92274210055535
0.11298600882065467,0.0,84.06159056256705,0.0,744.0,423.4791291651833
0.122381282394039,0.0,91.05167410116499,0.0,744.0,423.0200449617687
0.13168114331339298,0.0,97.97077062516436,0.0,744.0,422.56562293683453
0.14130534247802565,0.0,105.13117480365108,0.0,744.0,422.0953526703555
0.1502105724669352,0.0,111.7566659153998,0.0,744.0,421.6602136205184
0.15870853939221718,0.0,118.07915330780958,0.0,744.0,421.2449747936695
0.16749861202883107,0.0,124.6189673494503,0.0,744.0,420.81546271370536
0.17713107002969866,0.0,131.7855161020958,0.0,744.0,420.34478889311754
0.18666273961745522,0.0,138.87707827538668,0.0,744.0,419.87903992841444
0.19548466690760505,0.0,145.44059217925815,0.0,744.0,419.4479713245099
0.20514373765376234,0.0,152.62694081439918,0.0,744.0,418.9759971169907
0.21470337665700231,0.0,159.7393122328097,0.0,744.0,418.50888147395443
0.22382306828884774,0.0,166.5243628069027,0.0,744.0,418.063263117502
0.23284551601618078,0.0,173.2370639160385,0.0,744.0,417.6223964204974
0.24177800935443908,0.0,179.88283895970267,0.0,744.0,417.18592519305844
0.2506185504330482,0.0,186.46020152218784,0.0,744.0,416.7539470577624
0.259054786867276,0.0,192.73676142925333,0.0,744.0,416.34172458728574
0.26740417957560486,0.0,198.94870960424998,0.0,744.0,415.93374558906294
0.2760447623784572,0.0,205.37730320957212,0.0,744.0,415.5115380777966
0.285505280226294,0.0,212.41592848836268,0.0,744.0,415.049265822908
0.29453314001959296,0.0,219.1326561745771,0.0,744.0,414.6081346744244
0.3034680658384288,0.0,225.78024098379095,0.0,744.0,414.17154458792294
0.3123122540135674,0.0,232.3603169860941,0.0,744.0,413.7393882434037
0.32075379733312376,0.0,238.64082521584405,0.0,744.0,413.3269064609225
0.3291084422970066,0.0,244.85668106897285,0.0,744.0,412.91867082008696
0.33708100411337394,0.0,250.78826706035014,0.0,744.0,412.5291050280903
0.3449726014664525,0.0,256.65961549104054,0.0,744.0,412.14349542809214
0.35361713231258607,0.0,263.09114644056393,0.0,744.0,411.72109500234694
0.36256119069847126,0.0,269.7455258796625,0.0,744.0,411.2840586683535
0.3714116636826444,0.0,276.3302777798873,0.0,744.0,410.85159522723654
0.3798583826016454,0.0,282.61463665562405,0.0,744.0,410.43886054781416
0.38911458202069293,0.0,289.5012490233954,0.0,744.0,409.98657196848234
0.3979493791578669,0.0,296.07433809345287,0.0,744.0,409.55487450120063
0.40638013433844966,0.0,302.3468199478064,0.0,744.0,409.14291986294234
0.4151006849207729,0.0,308.8349095810549,0.0,744.0,408.71680486095204
0.42373146501001385,0.0,315.25620996745016,0.0,744.0,408.29507634275967
0.43227459617362907,0.0,321.61229955317987,0.0,744.0,407.87763064154825
0.440728337003759,0.0,327.90188273079656,0.0,744.0,407.464552848277
0.4490962268107349,0.0,334.1275927471866,0.0,744.0,407.05567002051356
0.45708237775104005,0.0,340.06928904677363,0.0,744.0,406.665440218886
0.4653470505106467,0.0,346.21820557992095,0.0,744.0,406.2616009181258
0.47389808896696944,0.0,352.5801781914251,0.0,744.0,405.8437688403873
0.4820604477534458,0.0,358.65297312856353,0.0,744.0,405.4449289394302
0.490505627122022,0.0,364.9361865787842,0.0,744.0,405.0322694875438
0.4988659549910768,0.0,371.156270513361,0.0,744.0,404.623756161128
0.5071422838915817,0.0,377.3138592153366,0.0,744.0,404.2193473026942
0.5153303617228834,0.0,383.405789121825,0.0,744.0,403.81925068397214
0.5238054475449255,0.0,389.7112529734244,0.0,744.0,403.4051299036572
0.5321918550201837,0.0,395.9507401350165,0.0,744.0,402.9953422412526
0.5401947267523497,0.0,401.90487670374796,0.0,744.0,402.60429540632083
0.5478325115563153,0.0,407.5873885978983,0.0,744.0,402.23108792862547
0.5557380155143312,0.0,413.4690835426622,0.0,744.0,401.8447988058225
